SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532985,KOTAK SENSEX,A ,Q,77.02,77.98,76.7,77.49,77.36,76.83,115,3117,239967,
532986,NIRAJ CEMENT,B ,Q,51.49,52,48.5,48.65,48.77,50.88,523,42879,2140350,
532987,RANE BRAKE  ,B ,Q,871.05,874.65,863.35,866.6,864.2,862.2,81,809,702051,
532988,RANE ENGVL  ,B ,Q,372.3,372.3,355,364.05,362,365,94,704,255450,
532989,BAFNA PHARMA,T ,Q,104.1,104.1,100.61,100.61,100.61,105.9,28,2360,238608,
532992,CHL LTD     ,XT,Q,41.56,41.56,40.49,40.49,40.49,42.62,53,14561,594525,
532994,ARCHIDPLY IN,T ,Q,102.9,103.75,100.05,100.06,100.05,100.88,48,3733,379898,
532998,LEHIL       ,B ,Q,88.54,88.54,87.55,87.56,87.56,86.23,17,328,28885,
533001,SOMI CONVEY ,T ,Q,96.45,100.8,96.45,99,99,98.42,20,1997,196069,
533007,LGB FORGE   ,B ,Q,13.1,13.24,12.96,13,13,13.04,407,13557,177225,
533012,LANDMRK PRO ,T ,Q,8.88,8.99,8.71,8.88,8.84,8.71,155,90901,807026,
533014,SICAGEN IND ,X ,Q,62.8,64.5,60.57,62.27,62.27,60.57,1492,365045,22994009,
533019,SIMPLEX PAP ,XT,Q,1344.6,1345,1344.6,1345,1345,1372,7,26,34964,
533022,20 MICRONS  ,B ,Q,179,181.5,177,178.2,177,177.9,896,29851,5353176,
533023,ZFCVINDIA   ,A ,Q,16008.9,16325,15676.35,16250.35,16231.5,15870.4,186,299,4768865,
533029,ALKALI      ,B ,Q,141.05,141.9,139.45,139.6,139.6,138.1,92,3300,462859,
533033,ISGEC       ,A ,Q,1043.85,1043.85,998.25,1008.9,1008.9,1028.3,970,7445,7548351,
533047,INDIAN MET  ,B ,Q,486.1,495,485.45,487.55,486,485.5,462,7304,3583802,
533048,TPHQ        ,T ,Q,1.16,1.17,1.16,1.17,1.17,1.15,424,1506386,1759109,
533056,VEDAVAAG    ,X ,Q,53.8,59.85,53.8,56.68,56.68,53.5,1247,382247,21788439,
533080,MOLDTKPACK  ,A ,Q,875.15,885,873.8,875.8,876,879.6,965,9325,8194865,
533088,MAH HOLIDAY ,A ,Q,404,410.7,400,407.25,407.25,403.65,952,24099,9777991,
533090,EXCEL       ,T ,Q,0.49,0.49,0.49,0.49,0.49,0.48,81,428941,210181,
533093,RAJ OIL     ,B ,Q,49.75,49.75,48.51,49.11,49.15,48.77,88,5718,280002,
533095,BENGLA& ASM ,B ,Q,8100.05,8100.05,7766.6,7996.8,8000.1,8042.5,116,455,3636489,
533096,ADANI POWER ,T ,Q,545.3,545.6,540,540.95,540.95,540.6,5310,147725,80056125,
533098,NHPC        ,A ,Q,69.53,70.34,68.75,69.17,69.17,69.11,8839,2071709,144190647,
533101,SURYAMBA SP ,X ,Q,184.75,192,181.5,182.35,185,184,43,2199,410334,
533104,GLOBUS SPR  ,A ,Q,843.45,849.1,815.45,821.15,821.05,838.25,4756,49647,41175010,
533106,OIL INDIA   ,A ,Q,372.2,376.5,369.2,374.8,374.8,373.3,2302,83842,31275780,
533108,BHILWRA TEC ,XT,Q,39.21,39.21,38.55,39.1,39.1,39.21,35,12530,488123,
533110,SH PRECOTED ,XT,Q,19.3,19.6,19.3,19.6,19.6,19.3,12,1594,31091,
533121,EXPLEOSOL   ,B ,Q,1400.8,1445,1399.75,1403.1,1401.85,1381.9,407,2270,3223213,
533122,RTNPOWER    ,A ,Q,10.53,11.15,10.45,10.87,10.87,10.86,20487,21087969,228557707,
533137,DEN NETWORK ,B ,Q,64.99,65,63.57,64.11,64.01,64.56,1907,375313,24100372,
533138,ASTEC LIFE  ,B ,Q,1026.05,1047.3,1020,1023.35,1030.5,1033.7,688,2423,2491015,
533146,DLINK IND   ,B ,Q,326.65,329.2,324.05,324.95,324.95,326.25,805,16179,5269388,
533148,JSW ENERGY  ,A ,Q,483.7,485.4,472.1,483.5,483.5,480.5,4520,224001,107293280,
533149,ESSAR SECU  ,XT,Q,11.46,12.63,11.46,12.59,12.6,12.03,58,24235,303558,
533150,GODREJ PROP ,A ,Q,2252.3,2286.5,2233,2274.1,2273.5,2247.6,2677,34170,77617675,
